"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
4753,300534,59224,26364,"4298.3","7.10","2.40","2.50","11.90","25.90","19.60","7.10","7.70"
4754,300535,59225,26365,"4442.5","7.70","2.30","2.70","11.10","25.90","21.10","6.10","7.60"
4755,300536,59226,26366,"4442.5","7.00","2.30","2.50","12.30","25.50","19.90","5.02","7.48"
4756,300537,59227,26367,"4160.4","7.00","2.30","2.50","12.30","26.50","19.90","5.20","6.91"
4757,300538,59228,26368,"4087","9.90","2.80","3.20","14.00","27.10","19.30","4.01","7.40"
4758,300539,59229,26369,"4128.6","10.31","2.65","3.16","13.82","28.10","20.44","3.49","5.34"
4759,300540,59230,26370,"3820.9","10.41","2.96","3.29","13.61","27.30","20.51","3.54","4.10"
4760,300541,59231,26371,"3929.8","10.41","2.96","3.29","13.61","26.80","20.51","3.51","3.85"
4761,300542,59232,26372,"4124.5","12.57","3.32","3.52","15.02","27.00","19.17","3.36","4.36"
4762,300543,67480,26373,"4186.1","11.75","3.13","4.13","15.31","29.60","19.37","3.14","4.60"
4763,300916,6819,26399,"10015.5",NULL,"4.60","5.22",NULL,"29.30",NULL,"5.70","10.20"
4764,300917,59253,26400,"10292.1",NULL,"4.20","4.50",NULL,"29.80",NULL,"11.00","13.00"
4765,300918,59254,26401,"10389.1",NULL,"4.40","4.80",NULL,"30.20",NULL,"11.50","15.00"
4766,300919,59255,26402,"9083.9","23.00","4.90","5.10",NULL,"30.20",NULL,"9.30","16.10"
4767,300920,59256,26403,"9083.9","27.50","5.50","5.20","31.40","31.30",NULL,"7.14","14.66"
4768,300921,59257,26404,"9109","27.50","5.50","5.20","31.40","31.50",NULL,"6.61","14.43"
4769,300922,59258,26405,"9358.4","17.60","4.10","4.10","20.70","32.40","16.70","5.75","13.85"
4770,300923,59259,26406,"9706.3","16.51","4.03","4.13","20.41","33.40","16.04","4.93","10.96"
